Name,Rating,Would Take Again (%),Difficulty,Department
Ashley Thompson,3.4,61,3.4,Neuroscience
Chloe Fogarty-Bourget,2.8,38,3.7,Applied Linguistics Discourse Studies
Jody Mason,4.7,93,3.1,English
Jessica Gledhill,5.0,100,2.3,Psychology
Amanda Bullock,2.8,39,3.2,Psychology
Ian Pulsifer,5.0,100,2.9,Biology
Lara Russo,2.8,46,2.8,Linguistics
Ankit Sanghvi,1.0,0,4.8,Business
Xuan Thuy Nguyen,2.5,50,3.3,Child Family Studies
Katie Graham,5.0,100,2.7,Journalism & Communication
Menno Oudhoff,2.6,20,4.2,Health Sciences
Eva Kartchava,5.0,100,3.0,Applied Linguistics Discourse Studies
Omeasoo Wahpasiw,3.3,34,2.7,Architecture
David Moscrop,4.7,100,2.7,Journalism & Communication
Laura Madoroko,5.0,100,2.0,History
Caroline O'Neill,5.0,100,3.0,Journalism & Communication
Warren Borg,4.0,100,2.0,Architecture
Lorena Ruci,3.8,64,2.9,Psychology
Collins Ayoo,3.2,62,2.6,Economics
James Deaville,4.0,50,2.5,Music
Katie Gunnell,4.0,79,3.2,Psychology
Wilf Lalonde,2.8,24,3.9,Computer Science
Marc Furstenau,3.8,37,3.1,Film
David Schroeder,3.0,40,3.2,Music
Sandra Fahy,3.6,67,2.5,Public Affairs
Denise DeShaw,4.7,90,3.2,Applied Language Studies
Martin Geiger,3.7,71,2.6,Political Science
Carol Manseau,2.8,48,2.9,Social Work
Meera Karunananthan,1.9,39,2.5,Geography
Christine Polihronis,3.0,34,3.8,Child & Family Studies
Milana Nikolko,2.9,56,3.4,European Studies
Steve Saideman,3.0,50,3.0,International Affairs
Nimo Bokore,1.5,0,4.5,Social Work
Jun Huang,1.0,0,1.0,Systems & Computer Engineering
Kevin Gildea,3.5,49,3.5,English
John Hale,4.6,93,2.4,Law
Tashfeen Karamat,4.1,78,3.0,Engineering
Allan Blunt,4.8,94,3.5,Psychology
Phillip Primeau,4.8,98,1.8,Sociology & Anthropology
Jaskolka Jason,4.0,76,3.4,Engineering
Razieh Enjilela,3.9,78,1.9,Physics
Morgan Rooney,3.2,42,3.9,English
Robert Coplan,4.8,100,2.2,Psychology
Gillian Bose,3.8,80,3.0,Languages
Alberto Salazar,3.6,72,3.0,Law
Susan Ross,3.2,45,2.8,Canadian Studies
Matthew Scribner,4.0,82,2.4,English
Safaa Bedawi,4.1,82,2.3,Computational Science
Kim Matheson,2.2,28,3.7,Neuroscience
Soyoung Kang,5.0,100,1.7,Humanities
Micheline White,3.0,50,3.5,Humanities
Ayse Alaca,2.3,23,3.3,Mathematics
Diane A Isabelle,4.6,85,2.7,Business
Cristina Ruiz Martin,1.7,17,3.9,Systems & Computer Engineering
Vincent Andrisani,4.8,99,2.5,Communication
Howard Nemiroff,3.6,34,3.7,Business
Emily Gray,4.0,65,3.4,Business
Neil Gerlach,4.4,75,3.0,Sociology
Piotr Dutkiewicz,4.5,100,2.6,Political Science
Ari Black,2.2,28,4.0,Applied Language Studies
David Mould,2.2,12,4.0,Computer Science
Lianying Zhao,3.8,66,3.2,Computer Science
Andrea Wagner,4.5,67,3.1,Political Science
Erica Fraser,4.8,96,2.7,History
Nalini Ramlal,4.1,71,3.4,Cognitive Science
Laura Hall,4.5,75,2.5,Sociology & Anthropology
Sean Benjamin,4.9,100,2.3,Computer Science
Maseeh Haseeb,3.4,70,3.0,Criminology
Violet Ford,1.0,0,3.9,Law
Larry Coutts,3.9,75,2.3,Business
David Brock,2.1,28,4.3,Chemistry
Deanna Whelan,3.3,58,3.5,Neuroscience & Psychology
Matthew Sorley,4.7,95,2.3,Psychology
David Matheson,3.8,62,2.4,Philosophy
Mohammed Rustom,4.0,75,2.9,Religion
Jacob Kovalio,3.5,77,3.3,History
Morgan Currie,4.5,89,2.3,Art History
Michael Wohl,3.6,100,3.1,Psychology
Jeff Sahadeo,4.4,86,2.7,Political Science
Raqib Mahmud,1.1,0,3.6,Business
Lindsay Richardson,3.2,60,3.4,Statistics
Chad Danyluck,3.8,63,3.1,Psychology
Jack Hui Litster,4.9,86,1.0,Music
Birgit Hopfener,3.0,50,2.8,Art History
Jack Vandenberg,4.3,86,3.0,Engineering
Jeffrey Monaghan,3.6,72,3.1,Criminology
Lori Stinson,2.4,29,3.7,Criminology
Elsa Piersig,1.7,9,3.7,Political Science
Marc Saurette,3.9,50,3.2,History
Miranda Brady,4.2,72,2.2,Communication
Heath MacMillan,4.8,100,2.8,Biology
Mohammad Hassan,2.0,25,3.0,Law
Kira Smith,2.0,17,4.3,History
Hanika Rizo,5.0,100,2.5,Earth Science
David Morton,4.3,84,2.2,Applied Language Studies
Jasdeep Bajwa,4.8,100,2.8,Business
Brittney Bos,4.5,100,3.0,Women's Studies
Johan Voordouw,2.7,34,3.7,Architecture
Masoud Barati,5.0,100,1.5,Information Technology
Ahmed Almaskut,4.4,81,2.7,Statistics
Iain McKinnell,4.4,84,3.2,Biology
Sam Melkonian,3.7,52,2.6,Mathematics
Gilles LeVasseur,3.4,69,4.0,Business
Minyi Huang,2.1,22,3.4,Mathematics
Geoff Pignotta,4.4,84,2.3,Earth Science
Shawn Hayley,3.7,58,2.8,Psychology
Bill Willmore,4.2,84,2.6,Science
Wafa Hasanain,3.0,49,3.8,Systems & Computer Engineering
Shelly Hepworth,4.1,50,3.0,Biology
David Long,3.4,34,3.6,International Studies
Atiya Husain,4.3,67,2.7,Legal Studies
Ross Chiasson,5.0,100,2.0,English
Mathieu Lemire,3.4,43,3.1,Mathematics
Carolina Czastkiewicz,3.5,71,3.2,Economics
Jiankang Zhang,2.4,41,3.5,Economics
Stephen Waxman,3.3,42,2.3,Law
Mohsen Hooshyar,3.0,40,3.5,Biology
Marina Sabanadze,4.9,93,2.7,Languages
Emily Jones Joanisse,3.6,65,2.7,Business
Ahmed Raoof,4.0,67,2.5,Systems & Computer Engineering
Marcella Macreddu,3.7,67,2.7,Italian
Pamela Walker,3.0,45,3.6,History
Christie Brien,4.4,93,2.7,Linguistics
Ali Nazari,1.7,23,3.9,Computer Science
Bjarki Hallgrimsson,4.8,100,2.3,Engineering
Renate Ysseldyk,2.9,38,3.3,Psychology
Carieta Thomas,5.0,100,2.8,Anthropology
Norman Hillmer,4.9,100,2.6,History
Conrad Winn,2.9,42,2.9,Political Science
Janine Debanne,3.9,96,3.7,Architecture
Lisa Menard,4.0,70,2.8,Psychology
Sefa Hayibor,2.7,29,2.8,Business
Brian Strong,1.8,19,2.8,Applied Language Studies
Chao Shen,3.0,47,3.1,Systems amp Computer Engineering
Leila Mostaco-Guidolin,4.0,72,3.6,Systems & Computer Engineering
Din Begovic,3.8,60,2.0,Business
Tsitsi Mpofu-Mketwa,2.0,0,3.0,Social Work
Issac Otchere,3.1,37,3.4,Business
Jane Dickson,3.1,43,3.5,Law
Elisabeta Sarca,3.5,65,2.7,Philosophy
Sean Eedy,3.0,37,3.1,History
John Milton,3.3,35,3.2,Geography
Kevin Hamdan,4.3,90,3.0,Geography
Peter Liu,3.3,48,2.7,Engineering
Sreeraman Rajan,3.1,48,3.7,Systems Engineering
Paul B. Williams,4.7,100,1.7,Geography
Elyn Humphreys,3.2,50,3.6,Geography
Derek Mueller,2.6,17,3.9,Geography
Jennifer Ridgley,3.3,70,3.1,Geography
Karen Hébert,4.9,100,2.9,Geography
Peter Crockford,4.2,80,2.8,Earth Science
Cassandra Morrison,3.2,60,4.2,Neuroscience & Psychology
Adam Kirkwood,5.0,100,2.6,Geography
Chris Schaller,4.3,75,2.8,Chemistry
Adina Ilea,3.2,60,2.7,Criminology
Carlos Valdez,4.6,100,2.0,Languages
George Harrison,3.9,65,2.8,Classics
Yukai Li,4.0,75,2.2,Classics
Johannes Wolfart,3.5,64,3.8,Religion
Elizabeth Klaassen,3.2,43,3.0,Classics
Mihaela Flueraru,2.3,34,4.1,Biochemistry
Frank Adou,3.4,43,3.3,French
Vincent Kazmierski,4.7,97,2.7,Law
Tanvir Quadir,3.9,79,3.3,Economics
Andrew Wallace,4.1,87,3.1,English
Alexandra Pettit,2.0,17,4.1,Neuroscience
Dana Dragunoiu,4.4,85,3.5,English
Shichao Liu,3.9,70,2.6,Electronics
Nicole Yang,2.6,40,2.9,Business
Jie Liu,4.9,100,2.4,Engineering
Damian O'Keefe,4.8,100,3.3,Psychology
"Jones, Cait",1.4,20,4.6,English
David D'Intino,4.6,80,3.0,Law
Erin Tolley,3.5,50,3.5,Political Science
Louis Nel,3.1,39,3.0,Computer Science
Shazia Sadaf,4.3,80,3.0,Interdisciplinary Studies
Elaine Waddington Lamont,3.4,69,3.3,Psychology
Barry Syrett,1.5,3,4.6,Engineering
Alyshea Cummins,3.9,75,2.6,Anthropology
Christopher Elvidge,4.3,89,2.7,Environmental Science
Anna Kopec,5.0,100,2.4,Public Policy
Kester Dyer,4.5,84,2.3,Film
Robert Burk,4.2,77,3.3,Chemistry
Tina Daniels,2.8,22,3.2,Psychology
Beth Martin,2.7,45,3.5,Social Work
Lara Karaian,3.7,67,3.5,Criminology
Ben Warnes,4.7,100,2.7,Chemistry
Patricia McGuire,4.4,89,1.8,Social Work
Jacqueline Briggs,3.5,50,2.5,Criminology
Reza Kholghy,3.6,67,4.1,Engineering
Brian Tansley,2.4,26,3.8,Psychology
Mayurika Chakravorty,3.7,64,2.5,English
Norhan Elsaadawy,5.0,100,1.5,Psychology
Andrew Robinson,4.9,100,2.4,Physics
Gregory MacIsaac,3.9,93,3.0,Humanities
Ken Ferguson,3.2,51,2.8,Philosophy
Zhihao Yu,1.8,10,4.1,Economics
Amy Bruce,3.4,56,2.6,Art History
Kelly Babchishin,3.6,67,3.1,Psychology
Alan Steele,4.7,90,2.4,Engineering
Muslim Majeed,4.0,89,1.7,Engineering
Erik Stephenson,4.8,100,3.3,Humanities
Melissa Frankel,4.5,100,2.4,Philosophy
James Wright,4.3,67,3.3,Music
Mehrnaz Golestaneh,1.4,9,3.8,Sociology amp Anthropology
Linda Schweitzerr,1.1,0,4.5,Business
Anita Grace,2.4,23,3.6,Legal Studies
Abid Hussain,5.0,100,2.5,Environmental Engineering
Kim Hellemans,4.6,93,3.1,Neuroscience & Psychology
Metin Yaras,1.9,7,4.7,Engineering
Ayca Guler-Edwards,4.6,96,1.7,Psychology
Jeff Dawson,4.7,95,2.8,Biology
Aboubakar Sanogo,2.3,38,3.5,Film
Sonia Gulati,4.0,82,3.1,Health Sciences
Mishty Ray,4.4,86,2.1,Mathematics
Jessica Ford,5.0,100,3.0,Religion
Hymie Anisman,4.1,77,2.7,Psychology
Gabriel Wainer,3.4,60,3.7,Engineering
Amedeo D'Angiulli,1.9,17,4.2,Child & Family Studies
Fred Afagh,4.0,63,3.6,Engineering
Kareem Roberts,2.8,60,3.4,Business
Sean Landsman,5.0,100,2.0,Interdisciplinary Studies
Utkarsh Dang,5.0,100,3.0,Health Sciences
Emily Lind,2.7,50,2.7,Women's Studies
Alina Shaikhet,4.4,88,3.3,Computer Science
Agnes Benhin,3.5,66,3.1,Mathematics
Abdullah Kadri,3.7,67,3.2,Systems & Computer Engineering
Evelyn Mayanja,4.6,80,2.6,Humanities
Steven Prus,3.4,64,2.7,Sociology & Anthropology
Nikola Milanovic,3.2,29,3.4,Law
Stanley Dam,3.3,60,3.2,Business
Robert Shepherd,5.0,100,3.3,Public Policy
Leonard MacEachern,3.5,72,2.7,Engineering
Mark Blenkinsop,4.8,97,2.2,Mathematics
Susan Birkwood,3.9,31,3.2,English
Sean Barry,3.6,37,3.7,Chemistry
James Cheetham,4.6,93,2.0,Biology
Rowida Mohamed,4.4,80,2.7,Health Sciences
Karen Taylor,2.6,42,3.8,Aerospace Studies
Leo Bertossi,1.5,25,4.6,Computer Science
Cecilia Jorgenson,3.4,60,2.7,Psychology
Thomas Walker,4.6,100,2.9,Civil Engineering
Timea Spitka,4.0,50,1.5,International Affairs
Hassan Diab,1.9,0,3.9,Anthropology
Edward Cyr,3.7,64,3.7,Engineering
Joshua Redstone,4.4,91,2.8,Cognitive Science
Christopher McGrath,4.3,88,2.4,Philosophy
Cheryl Cundell,2.5,38,3.8,Communication
Jane Lalonde,3.1,57,2.2,Applied Language Studies
Kyla Bruff,4.9,90,3.1,Philosophy
Siva Sivathayalan,2.4,47,3.3,Engineering
Melissa Chee,3.2,50,3.3,Neuroscience
Linda Duxbury,3.9,60,2.9,Business
Adam Weiss,4.3,88,2.1,Engineering
Federica Goffi,4.0,100,3.4,Architecture
Elena Zabolotnii,1.4,20,4.0,Civil Engineering
Ehab Zalok,3.5,43,3.0,Engineering
Chung-Horng Lung,3.5,65,3.0,Engineering
Kim Hellemans,4.8,95,3.1,Neuroscience
Patti Proulx,4.1,77,2.6,Business
Ouafa Sakka,2.9,10,3.7,Business
Deidre Butler,3.9,67,3.3,Religion
Lowell Gasoi,3.6,64,2.8,Communication
Yanan Mao,3.8,59,2.2,Computer Science
Menna Agha,2.3,34,3.3,Architecture
Mohammed Sadeghi,3.2,59,2.9,Mathematics
Abhijit Sarkar,2.3,15,3.7,Engineering
Philippe-Antoine Hoyeck,4.3,80,2.9,Philosophy
Susana Vargas Cervantes,1.3,0,3.7,Communication
Robert Helal,1.4,5,3.7,Business
Laura MacDonald,3.6,50,3.5,Political Science
Jeremy Laliberte,4.6,100,2.7,Mechanical Engineering
Asif Hameed,4.7,100,2.7,Political Science
Ania Zbyszewska,3.6,63,3.6,Law
Jeremy Brzozowski,5.0,100,2.3,Business
Chris Motz,4.4,85,3.2,Psychology
Deborah Young,4.5,75,3.5,Social Work
Saban Alaca,4.2,80,2.0,Mathematics
Adrian Harewood,3.4,67,2.9,Journalism & Communication
Jie Gao,4.2,100,3.4,Information Technology
Brenda Carr-Vellino,3.0,86,3.4,English
Zinovi Rabinovich,1.0,0,4.7,Computer Science
Nafisa Bano,1.3,8,4.0,Engineering
Jay Lim,2.5,37,3.9,Architecture
Iva Apostalova,3.3,42,2.6,Philosophy
Kim O'Neil,3.4,55,2.5,Psychology
Ksenia Polonskaya,1.7,14,4.0,Legal Studies
Julie Tomiak,1.9,20,3.6,Sociology & Anthropology
Teddy Dancy,4.4,86,3.4,Public Affairs
Gabrielle Duval,3.0,34,3.0,Sociology & Anthropology
Alexa Sharp,3.1,54,3.9,Computer Science
Donna Mailloux,3.2,46,3.2,Psychology
Brian Schmidt,4.0,59,3.1,Political Science
Abdelghny Orogat,5.0,100,2.3,Computer Science
Colin Ingalls,2.5,28,3.1,Mathematics
Esther Post,4.3,74,2.6,English
Edward Sherwood,3.6,66,3.6,Engineering
Mohamed Beshir,4.9,100,2.7,Civil Engineering
Abhijit Sarkar,1.5,14,4.6,Civil Engineering
Rebecca Renfroe,4.8,93,2.9,Business
Shoeleh Shams,4.7,93,2.1,Civil Engineering
Guy Lacroix,3.5,52,3.5,Psychology
Liam Kilmurray,2.4,26,3.4,Anthropology
Oliver Van Kaick,5.0,100,4.0,Computer Science
Stefania Maggi,4.7,100,3.0,Psychology
Megan Lonergan,1.0,0,3.5,Law
Aaron Ettinger,4.8,97,2.9,Political Science
Ian Beausoleil Morrison,4.6,80,2.7,Engineering
William Hebert,4.3,87,2.7,Law
isaac otcheer,4.0,75,2.8,Business
Lindsay Hyland,4.1,78,3.1,Neuroscience
Shawna Dolansky,4.4,92,3.2,Religion
Rowland Few,2.1,22,3.1,Business
Nalini Ramlakhan,4.0,74,2.9,Philosophy
Samuel Ajila,1.8,14,3.4,Engineering
Edward Lai,3.1,30,3.0,Chemistry
Alain Bellerive,2.7,43,3.7,Physics
Hashim Mohamed,4.5,88,3.7,Mechanical Engineering
Paul Villeneuve,3.1,50,3.0,Health Sciences
Sonya Lipsett-Rivera,2.2,20,3.4,History
Sangeeta Murugkar,4.1,100,3.5,Physics
Susan Downie,2.9,29,3.8,Classics
Zack Patterson,4.5,94,3.1,Neuroscience
Jill Wigle,3.8,58,3.2,Geography
Emmanuel Grandmaison,1.9,28,3.5,Mathematics
Alex Meyers,4.3,100,1.8,Linguistics
Maurice Lamontagne,3.3,34,3.3,Earth Science
Cristina Ruiz Martin,3.2,48,3.0,Engineering
Nadine Charanek,4.8,95,1.4,Cognitive Science
Owen Rowland,4.8,100,3.0,Biology
Rena Bivens,4.5,90,2.8,Communication
Mehdi Niknam,3.3,60,3.3,Information Technology
Mike Smith,3.2,43,3.4,Law
Chris Herdman,3.6,64,3.2,Psychology
Dan Irving,2.9,33,3.9,Interdisciplinary Studies
Alexis Shotwell,4.5,84,2.4,Sociology & Anthropology
Siobhain Bly-Calkin,3.9,65,3.7,English
Zhiqi Chen,5.0,100,3.0,Economics
Arthur So,2.8,45,3.2,Business
Collett Tracy,3.4,50,2.0,English
Paul Kariouk,4.0,69,3.6,Architecture
Alisha Szozda,4.9,100,1.8,Chemistry
Sebastien Malette,4.1,80,2.5,Law
Haozhen Zhang,4.4,100,2.9,Economics
Matthew Holahan,4.0,73,3.0,Neuroscience
Sheryl Hamilton,2.1,15,4.4,Communication
Ryan Conrad,3.9,58,3.0,Women's Studies
Ramy Gohary,4.7,96,2.9,Engineering
Oren Petel,2.3,23,3.9,Mechanical Engineering
Ioana Dimitriu,3.9,58,2.4,Spanish
Roshdy Hafez,3.2,86,3.4,Engineering
Argel Aguilar-Valles,3.2,50,3.2,Neuroscience
Azar Masoumi,3.8,50,3.3,Sociology & Anthropology
Randall Germain,4.2,100,3.1,Political Science
Marc Hanvelt,4.4,85,3.4,Political Science
Gopika Solanki,3.5,42,2.7,Political Science
Miles Tittle,3.6,56,3.0,English
Nalini Ramlakhan,4.0,67,3.3,Cognitive Science
Mostafa El Sayed,4.3,80,3.2,Engineering
Langis Roy,3.6,100,3.5,Electronics
John Stead,3.6,35,3.1,Neuroscience & Psychology
Mohamed Ali,3.5,70,2.3,History
Jill St. Germaine,3.2,34,3.4,History
David Dean,4.5,67,2.4,History
Michel Hogue,4.5,90,2.8,History
Jeff Manthorpe,3.9,45,3.7,Chemistry
Todd Tobin,3.8,74,2.9,Applied Language Studies
Tarry Ahuja,4.7,96,2.4,Psychology
John Higney,3.2,43,3.2,Music
Candace Sobers,3.7,67,3.6,History
Karl Coulthard,1.1,0,4.3,Linguistics
Laura Banducci,3.8,55,3.3,Classics
Jaime Droog,4.3,100,2.9,Applied Language Studies
Lucille Perreault,3.8,67,3.9,Business
James McGowan,4.4,80,2.9,Music
Qi Deng,4.5,100,3.3,Business
Deborah Landry,4.8,94,1.4,Sociology & Anthropology
Noel Salmond,4.0,67,2.9,Humanities
Pablo Heidrich,4.1,77,3.4,Economics
Hillary Maddin,2.8,50,3.3,Earth Science
Alexandra Matute,2.1,30,2.3,Child & Family Studies
hubert jean-ruel,4.8,100,2.5,Engineering
Joanna Northover,3.5,50,3.0,Earth Science
Angela Dionisi,3.0,50,2.8,Business
Kristopher Brazil,5.0,100,2.2,Psychology
James Green,4.5,100,2.9,Systems & Computer Engineering
Sean Burges,3.6,64,3.9,Political Science
Jean-Simon Schoenholz,2.7,44,3.8,Law
Shannon Butler,4.6,87,2.9,Business
Natasha Stirrett,2.1,35,2.9,Criminology
Lindsay McShane,3.9,72,3.3,Business
Troy Anderson,2.9,24,2.9,Business
Daniel Gulanowski,4.5,100,2.1,Business
Harinder Chhina,4.3,67,2.6,Business
Ali Nazari,0.0,,0.0,Business
Andres Lopez,3.0,64,2.5,Interdisciplinary Studies
Charles O'Brien,4.0,85,1.8,Film
Brian Cousens,4.6,100,2.4,Geology
Ummni Khan,3.2,36,3.3,Law
Marina Petrova,3.0,100,2.0,Linguistics
John Hayes,3.5,67,2.9,Engineering
Paul Nelles,3.7,34,2.7,History
Mustafa Bahran,4.0,74,3.2,Physics
Marie-Pier Lemay,3.6,64,2.5,Philosophy
Henrique Rocha,2.0,13,3.9,Mathematics
Jordan Schoenherr,2.5,29,4.0,Psychology
Simon Power,4.8,100,3.4,Economics
Peggy Hartwick,4.4,74,2.1,English As A Second Language
Jorg-Rudiger Sack,3.1,61,4.1,Computer Science
Peter Coffman,4.5,84,2.8,Art History
Ahmed Hassan,4.7,93,2.8,Civil Engineering
Mizuki Hoshino,4.4,86,2.8,Japanese
Celine Bonnotte-Hoover,4.4,93,2.7,French
Abdulghany Mohamed,3.9,75,2.0,Business
Vahid Sadeghian,3.5,80,3.7,Engineering
Jessica-Ann Boiron,3.3,70,2.6,Business
Rachelle Vessey,4.1,80,2.7,Applied Linguistics & Discourse Studies
Kaylen Brzezinski,5.0,100,1.7,Biology
Mehdi Pouragha,1.5,50,3.0,Civil Engineering
Yosef Khakipoorpariveh,3.0,50,4.5,Engineering
Brian Glabb,2.9,45,3.3,Economics
Michael Ryan,2.4,31,3.9,Earth Science
AbdelRahman Abdou,2.3,39,3.8,Computational Science
Jason D. Nielsen,3.2,54,3.3,Statistics
Mostafa Taha,4.5,93,2.5,Systems & Computer Engineering
Alex Hilmarsson,1.0,,4.0,Sociology & Anthropology
Shikharesh Majumdar,2.3,19,4.0,Engineering
Christopher Hall,2.9,0,4.0,English
Troy Joseph,4.2,84,2.6,Economics
Dawn Moore,3.3,38,3.1,Law
Sandra Anacleto,3.6,53,3.1,English As A Second Language
Mohamed Ibnkahla,2.5,40,2.9,Engineering
Josee-Anna Tanner,3.9,56,3.3,Applied Language Studies
Tori Semple,4.8,100,1.8,Psychology
Alton Wu,1.0,0,5.0,Business
Kira McCabe,2.3,33,3.6,Psychology
Jose Galdo,3.1,38,3.6,Public Policy
Eden Goodwin,4.3,84,3.0,Chemistry
Carmen Warner,5.0,100,2.0,Communication
Rebecca Friend,5.0,100,3.0,History
David Dwoskin,4.2,84,2.9,Law
Pat Morin,3.7,68,3.4,Computer Science
Zeina Bou-Zeid,3.9,80,3.0,Law
Umut Özsu,4.0,80,2.2,Law
Stephen Azzi,4.9,100,2.6,History
Geronimo Parodi-Matteo,4.9,97,2.2,Chemistry
Lisa Mills,4.5,100,2.3,Management
Shannon Fournier,3.6,61,3.2,Criminology
Arash Ahmadi,3.2,47,3.6,Electrical Engineering & Computer Science
Rony Amaya,2.7,34,4.5,Electronics
Hala Assal,3.4,72,3.6,Systems & Computer Engineering
Jason Hinek,2.9,45,3.1,Computer Science
Martha Mullally,4.8,94,2.7,Biology
Mahdi Moshirian Farahi,2.9,54,2.8,Psychology
Roslyn Dakin,5.0,100,2.0,Biology
Pablo Heinrich,3.3,58,3.5,Political Science
Martha Healey,1.4,8,4.8,Law
Luz-Patricia Lopez,5.0,100,2.0,Spanish
Pablo Mendez,3.5,56,2.6,Geography
Rami Sabouni,4.6,93,3.0,Engineering
Achim Hurrelmann,4.4,88,2.7,Political Science
Timothy Browne,4.6,97,2.0,Canadian Studies
Mira Sucharov,4.0,92,2.9,Political Science
Scott Bennett,3.2,78,2.3,Political Science
Thomas Kunz,2.1,25,3.8,Computer Science
Abu Syed Kabir,4.8,100,3.2,Mechanical Engineering
Emily Heath,3.3,59,3.0,Physics
John Coleman,4.1,79,2.8,English
Nabila Djaafer,3.1,59,3.4,French
Rajvinder Singh,4.8,100,2.2,Cognitive Science
Sophie Imbeault,1.6,0,4.4,Neuroscience & Psychology
Julie Harper,5.0,100,3.5,Social Work
Ali Elyasi,3.5,50,1.5,Public Affairs
Samantha Stevens,5.0,100,3.0,Interdisciplinary Studies
Pasan Fernando,3.4,54,3.8,Biology
Root Gorelick,2.9,34,3.3,Biology
Jean-Pierre Corriveau,2.1,24,4.2,Computer Science
Ida Toivonen,3.9,67,2.1,Linguistics
Qj Zhang,3.3,50,3.1,Engineering
Tamara Rozina,4.8,95,2.9,Physics
Hyoun Jeong Yoo,5.0,100,2.1,Linguistics
Julie Caldwell,2.8,56,2.7,Business
Daniel Gregoire,4.4,72,2.3,Chemistry
Jesse Dunn,5.0,100,4.0,Business
David McKenney,3.3,58,3.6,Computer Science
Mark Lanthier,4.5,74,2.5,Computer Science
Christie Byvelds,1.6,17,4.3,Social Work
Christine Crowther,4.0,100,3.0,Journalism amp Communication
Zainab Amery,3.4,50,2.3,Humanities
Jaffer Sheyholislami,4.3,0,3.0,Linguistics
Douglas Howe,1.8,24,4.3,Computer Science
Konstantinos Metaxoglou,2.3,45,3.2,Economics
Tien Nguyen,4.7,94,1.5,Health Sciences
Alisdair MacRae,4.0,100,1.0,Industrial Design
Thomas Russell,4.0,67,3.3,Economics
Rashid Nikzad,4.3,83,3.2,Economics
Connor Hillen,4.7,95,2.7,Computer Science
Yasser Hassan,2.2,58,3.8,Engineering
Said Ibrahimi,2.8,43,2.9,Political Science
Deniz Konuk,3.2,80,2.6,Law
Tonya Davidson,3.1,53,2.9,Sociology & Anthropology
Kevin Goheen,2.6,30,3.2,Engineering
Ralph Mason,3.3,77,3.0,Engineering
Saud Ayed,2.6,40,3.2,Biology
